welcome,,,irasshaimase,
show,,,misete,
how much,,,ikura,
please (give me),,,kudasai,
credit card,card,,kaado,
television,,,terebi,
tablet,,,taburetto,
computer,,,pasokon,
refrigerator,fridge,,reizouko,
air conditioner,,,eakon,
microwave,,,denshirenji,
toaster,,,toosutaa,
ballpoint pen,,,boorupen,
mechanical pencil,,,shaapen,
coffee,,,koohii,
green tea,,,ocha,
black tea,,,koucha,
juice,,,juusu,
sandwich,,,sando,sandoicchi
salad,,,sarada,
curry,,,karee,
cake,,,keeki,
chocolate,,,chokoreeto,
twenty,,,nijuu,
thirty,,,sanjuu,
forty,,,yonjuu,
fifty,,,gojuu,
sixty,,,rokujuu,
seventy,,,nanajuu,
eighty,,,hachijuu,
ninety,,,kyujuu,
one hundred,hundred,,hyaku,
two hundred,,,nihyaku,
three hundred,,,sanbyaku,
four hundred,,,yonhyaku,
five hundred,,,gohyaku,
six hundred,,,roppyaku,
seven hundred,,,nanahyaku,
eight hundred,,,happyaku,
nine hundred,,,kyuuhyaku,
one thousand,thousand,,sen,
two thousand,,,nisen,
three thousand,,,sanzen,
four thousand,,,yonsen,
five thousand,,,gosen,
six thousand,,,rokusen,
seven thousand,,,nanasen,
eight thousand,,,hassen,
nine thousand,,,kyuusen,
ten thousand,,,ichiman,
twenty thousand,,,niman,
thirty thousand,,,sanman,
forty thousand,,,yonman,
fifty thousand,,,goman,
sixty thousand,,,rokuman,
seventy thousand,,,nanaman,
eighty thousand,,,hachiman,
ninety thousand,,,kyuuman,
yen,,,en,
decimal point,,,ten,
part,fraction,,bun,